id;descripcion;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10
1;../fake-data/blob/hipster.txt;cross-platform;deploy indexing Parafarmacia;Gorro;Genérico Rústico wireless;EXE;Aragón transmit;Amarillo cross-platform mindshare;en transmitting;solutions;mobile adaptador open-source
2;../fake-data/blob/hipster.txt;Director;Savings Avanzado;Hormigon strategic Hogar;Extremadura red;Metal hacking;Reducido;Toallas Algodón;Funcionario parsing Parcela;capacitor Senior;Sincronizado global Salvador
3;../fake-data/blob/hipster.txt;Relacciones Vasco;Account redundant uniforme;Normas infraestructura;open-source auxiliary;Verde Adelante;Gerente Hong;virtual;impactful;Franc;Cambridgeshire
4;../fake-data/blob/hipster.txt;deposit Azul;Joyería;virtual Ladrillo;application red;Práctico herramientas;generación e-markets Ramal;Seguro;y HDD;parsing Amarillo;Programable Distribuido
5;../fake-data/blob/hipster.txt;Pequeño navigate dynamic;digital Acero;Inteligente Nacional Gorro;Genérico Opcional;alarm Azul;Mejorado bandwidth;quantifying Realineado;input;Canarias solución Diseñador;Borders
6;../fake-data/blob/hipster.txt;generate Decoración HTTP;Hecho;Inversor Contabilidad Malasia;Fantástico;3rd;Investment Bebes;Zambia a;Card;Atún;móbil Sabroso Zapatos
7;../fake-data/blob/hipster.txt;Granito;cliente Rústico;back;equipos parsing;intranet de;Optimización;payment withdrawal Decoración;productize Credit;Negro virtual;Enfocado
8;../fake-data/blob/hipster.txt;feed;Canarias Artesanal;Coche drive;Horizontal;Bedfordshire Guinea;system Rojo multi-byte;Senior;transicional cross-platform;program;Juguetería
9;../fake-data/blob/hipster.txt;Amarillo application;Granito Guantes;Investment;Arquitecto Rústico Sector;Ordenador;withdrawal Rambla;Acero;Avon Horizontal Metal;Investment Galicia Deportes;sensor digital
10;../fake-data/blob/hipster.txt;customized website;y;Web;Guapo Avon;amplio;bluetooth Fácil;bandwidth calculating;Director Agente de;Investigación Algodón Buckinghamshire;Inteligente parsing Web
